location,park,level,aa
ATH #4 Pool Area,ATH,0.120,No
Adams #1 Hallway,Adams,4.02,No
Gompers #4 - Mens,Gompers,4.34,No
16E0770,16E0770,0.00253,No
Hayes #2 Fitness Center High,Hayes,0.120,No
Hamilton #2 West Side,Hamilton,0.464,No
LF #2 Montrose,LF,54.3,Yes
Horner #3 Gym,Horner,1.65,No
West Lawn #2 Men's North,West Lawn,1.07,No
IB #1 Lobby,IB,3.81,No
Mt. Greenwood #3 Women's,Mt. Greenwood,2.55,No
Dvorak #1 Lobby High,Dvorak,0.922,No
Armour #3 Girls Gym,Armour,0.120,No
Gompers #1 - Main Hall,Gompers,0.832,No
Wilson #1 Hallway,Wilson,0.789,No
Hamilton #1 East Side,Hamilton,0.190,No
Moran #1 Club Room,Moran,1.82,No
ATH #2 Outside Gym,ATH,1.16,No
Gill #2 1st Floor Low,Gill,1.12,No
Dvorak #2 Lobby Low,Dvorak,1.44,No
Jefferson #2 Downstairs,Jefferson,6.51,No
Ridge #5 Pool Low,Ridge,9.05,No
Calumet #4 Boy's Locker,Calumet,1.48,No
Le Claire #2 Boys Locker,Le Claire,0.250,No
Hayes #3 Fitness Center Low,Hayes,0.120,No
Trumbull #1 Lobby,Trumbull,0.120,No
Altgeld #2 Lobby-Low,Altgeld,2.31,No
Clark #1 Lobby,Clark,0.837,No
Loyola #3 Mens Locker,Loyola,2.49,No
Humboldt #1 Main East,Humboldt,1.34,No
Normandy #1 Club Room,Normandy,10.3,No
Hayes #4 Mens Locker High,Hayes,0.240,No
Avalon #4 Boy's Locker,Avalon,5.01,No
Avalon #2 Kitchen,Avalon,2.52,No
ATH #1 Lobby,ATH,0.120,No
Calumet #6 Train Rm,Calumet,1.82,No
Humboldt #5 Game Room,Humboldt,14.4,No
Le Claire #3 Gym,Le Claire,1.36,No
Altgeld #1 Lobby-High,Altgeld,4.91,No
Women's #1 1st Floor,Women's,0.120,No
Loyola #4 Womens Locker,Loyola,0.940,No
Chase #1 1st Floor,Chase,0.838,No
Hayes #5 Mens Locker Low,Hayes,0.213,No
Mann #3 Men's Locker,Mann,2.58,No
Hayes #7 Pool Area Mid,Hayes,1.35,No
